X;Y;Toponyme Voie;Statut Voie;Libellé Voie;Point Origine Voie;Point Extrémité Voie;N° de Délibération;Date de Délibération;Longueur Voie;Observations
986796,33;6245787,91;Impasse;Publique;Impasse des Moulins;Rue des Moulins;Impasse;;05/09/1989;57 m;
986079,98;6246018,55;Oliviers;Privée;Impasse des Oliviers;Rue Blaise Pascal;Impasse (AL269);2013/013;15/03/2013;207 m;
987299,47;6245544,68;Pignes;Communale;Impasse des Pignes;Avenue des Mûriers;impasse;2015/003;23/02/2015;44m;
987359,95;6245255,54;Pitchouns;DPC;Impasse des Pitchouns;Ront-Point Peirin;Impasse;2007/104;23/10/2007;103 m;
986291,83;6245260,08;Rouves;DPC;Impasse des Rouves;Rue des Rouves;Impasse;2001/092;14/07/2001;42 m;
986279,91;6244258,35;Salles;Privée;Impasse des Salles;Chemin des Salles;Impasse;;;60 m;
986979,66;6245545,75;11-nov;Publique;Impasse du 11 Novembre;Rue du 11 Novembre;Impasse;;;30 m;
986582,42;6244471,72;Bon Temps;Privée;Impasse du Bon Temps;Impasse du chêne;Impasse;2012/048;15/05/2012;113 m;Arrêté n° 2012/514
986659,87;6244442,59;Chêne;Privée;Impasse du Chêne;Chemin de Trémouriés;Impasse;2011/135;20/12/2011;205 m;Arrêté n° 2012/515
987058,73;6245192,03;Colombier;Publique;Impasse du Colombier;Rue Marceau;Impasse;;;35 m;
986664,62;6245691,07;Levant;Privée;Impasse du Levant;Rue du Juge Michel;Impasse;;25/09/1989;89 m;
987085,48;6245823,17;Petit clos;Publique;Impasse du Petit Clos;Rue Henri Martin;Impasse parcelle AM 252;2013/084;19/09/2013;60 m;
987172,86;6245680,98;Peyron;Publique;Impasse du Peyron;Rue du Peyron;Impasse;;25/09/1989;67 m;
989867,46;6246634,07;Plant;Communale;Impasse du Plant;Route de La Foux;Impasse;2011/085;13/09/2011;293 m;Arrêté n° 2013/137
986253,81;6244293,74;Ruisseau;Privée;Impasse du Ruisseau;Chemin des Salles;Impasse;;;78 m;
987481,18;6245726,93;Stade;DPC;Impasse du Stade;Avenue des Pétugues;Impasse;2006/039;15/03/2006;98 m;
986554,93;6245733,13;Zéphir;Privée;Impasse du Zéphir;Avenue Louis Aragon;Impasse;;25/09/1989;117 m;
986238,97;6246038,7;François Jacob;DPC;Impasse François Jacob;Rue Blaise Pascal;Impasse (AL 300);;25/09/1989;82 m;
987559,96;6245443,45;Clémenceau;Privée;Impasse Georges Clémenceau;Avenue Georges Clémenceau;Impasse;;;34 m;
985848,51;6246068,8;Jacques Monod;DPC;Impasse Jacques Monod;Chemin de l'Argentière;Impasse;;25/09/1989;102 m;
990742,28;6247113,9;Jean Aicard;Privée;Impasse Jean Aicard;Impasse Jean AIcard (privé);Impasse;;25/09/1989;146 m;
990809,88;6247100,53;Jean Aicard;DPC;Impasse Jean Aicard;Rue Jean Aicard;Impasse Jean AIcard (privé);;25/09/1989;69 m;
987039,41;6244913,9;Marceau;Publique;Impasse Marceau;Rue Marceau;Impasse / Parcelle AV 134;;;197 m;D.P.Dépt/ Arrêté 2015/819
987001,38;6245428,56;Parmentier;Publique;Impasse Parmentier;Rue Parmentier;Impasse;;25/09/1989;36 m;
990904,59;6247161,93;Paul Auguste Arène;Publique;Impasse Paul Auguste Arène;Avenue Jean Aicard;Piste Cyclable;;;90 m;
986147,7;6245906,89;Piboules;Privée;Impasse Piboules;Impasse des Oliviers;Impasse;2013/014;15/03/2013;102 m;
986958,95;6245567,17;Saint-Sauveur;DPC;Impasse Saint-Sauveur;Rue du 11 novembre;Impasse;2015/136;17/09/2015;42 m;
